Compound,X,Xprime,GroupCat,AtomicMassofB,AtomicMassofBprime,AtomicMassofA,AtomicMassofAprime,ARENofB,ARENofBprime,ARENofA,ARENofAprime,r_XIIofA,r_XIIofAprime,r_VIofBprime,r_VIofB,r_VIIofB,CrystalRadiusofA,CrystalRadiusofAprime,CrystalRadiusofBprime,CrystalRadiusofB,IonicRadiiofB,IonicRadiiofBprime,IonicRadiiofA,IonicRadiiofAprime,IonizationPotentialofB,IonizationPotentialofBprime,IonizationPotentialofA,IonizationPotentialofAprime,PaulingENofB,PaulingENofBprime,PaulingENofA,PaulingENofAprime,ZungerRadiiofB,ZungerRadiiofBprime,ZungerRadiiofA,ZungerRadiiofAprime,BoilingPtofA,BoilingPtofAprime,BoilingPtofB,BoilingPtofBprime,CoefficientofLinearThermalExpansionatSpecofA,CoefficientofLinearThermalExpansionatSpecofAprime,CoefficientofLinearThermalExpansionatSpecofB,CoefficientofLinearThermalExpansionatSpecofBprime,DensityatSpecofA,DensityatSpecofAprime,DensityatSpecofB,DensityatSpecofBprime,EnthalpyofFusionofA,EnthalpyofFusionofAprime,EnthalpyofFusionofB,EnthalpyofFusionofBprime,MeltingPtofA,MeltingPtofAprime,MeltingPtofB,MeltingPtofBprime,SpecificHeatCapacityofA,SpecificHeatCapacityofAprime,SpecificHeatCapacityofB,SpecificHeatCapacityofBprime,ThermalHeatConductivityofA,ThermalHeatConductivityofAprime,ThermalHeatConductivityofB,ThermalHeatConductivityofBprime,rA,rB,ToleranceBVP,Vc
Cs2KFeF6,F,F,3,39.0983,55.845,132.90545,132.90545,0.91,1.64,0.8,0.8,2.126,2.126,0.805,1.585,1.642,1.81,1.81,0.69,1.52,1.38,0.55,1.67,1.67,4.34066,7.9024,3.8939,3.8939,0.82,1.83,0.79,0.79,1.54,0.95,1.71,1.71,671,671,759,2861,97,97,83.3,11.8,1.93,1.93,0.89,7.87,15.7,15.7,59.6,247.3,28.44,28.44,63.38,1538,0.242,0.242,0.757,0.449,0.359,0.359,1.024,0.802,2.126,1.195,0.988438581735554,11.5751389241854
Cs2KSmCl6,Cl,Cl,3,39.0983,150.36,132.90545,132.90545,0.91,-300,0.8,0.8,2.126,2.126,1.134,1.585,1.642,1.81,1.81,1.098,1.52,1.38,0.96,1.67,1.67,4.34066,5.6436,3.8939,3.8939,0.82,1.17,0.79,0.79,1.54,-300,1.71,1.71,671,671,759,1794,97,97,83.3,12.7,1.93,1.93,0.89,7.52,15.7,15.7,59.6,57.3,28.44,28.44,63.38,1074,0.242,0.242,0.757,0.196,0.359,0.359,1.024,0.133,2.126,1.3595,0.886013316185553,10.8959531327004
Cs2KTbCl6,Cl,Cl,3,39.0983,158.92534,132.90545,132.90545,0.91,-300,0.8,0.8,2.126,2.126,1.078,1.585,1.642,1.81,1.81,1.063,1.52,1.38,0.92,1.67,1.67,4.34066,5.8638,3.8939,3.8939,0.82,-300,0.79,0.79,1.54,-300,1.71,1.71,671,671,759,3230,97,97,83.3,10.3,1.93,1.93,0.89,8.23,15.7,15.7,59.6,67.9,28.44,28.44,63.38,1356,0.242,0.242,0.757,0.182,0.359,0.359,1.024,0.111,2.126,1.3315,0.894278641140808,11.0058737185199
Cs2KVF6,F,F,3,39.0983,50.9415,132.90545,132.90545,0.91,1.45,0.8,0.8,2.126,2.126,0.789,1.585,1.642,1.81,1.81,0.78,1.52,1.38,0.64,1.67,1.67,4.34066,6.7462,3.8939,3.8939,0.82,1.63,0.79,0.79,1.54,1.09,1.71,1.71,671,671,759,3407,97,97,83.3,8.4,1.93,1.93,0.89,6,15.7,15.7,59.6,422,28.44,28.44,63.38,1910,0.242,0.242,0.757,0.489,0.359,0.359,1.024,0.307,2.126,1.187,0.991829451655745,11.6103348338845
Cs2KYF6,F,F,3,39.0983,88.90585,132.90545,132.90545,0.91,1.11,0.8,0.8,2.126,2.126,1.065,1.585,1.642,1.81,1.81,1.04,1.52,1.38,0.9,1.67,1.67,4.34066,6.2171,3.8939,3.8939,0.82,1.22,0.79,0.79,1.54,1.32,1.71,1.71,671,671,759,3345,97,97,83.3,10.6,1.93,1.93,0.89,4.47,15.7,15.7,59.6,128,28.44,28.44,63.38,1522,0.242,0.242,0.757,0.298,0.359,0.359,1.024,0.172,2.126,1.325,0.936415498486315,11.0317089244353
Cs2LiGaF6,F,F,6,6.941,69.723,132.90545,132.90545,0.97,1.82,0.8,0.8,2.126,2.126,0.776,0.919,0.976,1.81,1.81,0.76,0.9,0.76,0.62,1.67,1.67,5.39172,5.9993,3.8939,3.8939,0.98,1.81,0.79,0.79,0.985,0.76,1.71,1.71,671,671,1342,2204,97,97,46,18,1.93,1.93,0.534,5.91,15.7,15.7,432,80,28.44,28.44,180.5,29.767,0.242,0.242,3.57,0.374,0.359,0.359,0.847,0.406,2.126,0.8475,1.16082623902695,13.6156255209479
Cs2LiInCl6,Cl,Cl,6,6.941,114.818,132.90545,132.90545,0.97,1.49,0.8,0.8,2.126,2.126,0.948,0.919,0.976,1.81,1.81,0.94,0.9,0.76,0.8,1.67,1.67,5.39172,5.78636,3.8939,3.8939,0.98,1.78,0.79,0.79,0.985,0.94,1.71,1.71,671,671,1342,2072,97,97,46,32.1,1.93,1.93,0.534,7.31,15.7,15.7,432,28.6,28.44,28.44,180.5,156.6,0.242,0.242,3.57,0.233,0.359,0.359,0.847,0.816,2.126,0.9335,1.03098803202771,13.112972328444
Cs2LiScCl6,Cl,Cl,6,6.941,44.95591,132.90545,132.90545,0.97,1.2,0.8,0.8,2.126,2.126,0.895,0.919,0.976,1.81,1.81,0.885,0.9,0.76,0.75,1.67,1.67,5.39172,6.5615,3.8939,3.8939,0.98,1.36,0.79,0.79,0.985,1.22,1.71,1.71,671,671,1342,2836,97,97,46,10.2,1.93,1.93,0.534,2.99,15.7,15.7,432,314,28.44,28.44,180.5,1541,0.242,0.242,3.57,0.567,0.359,0.359,0.847,0.158,2.126,0.907,1.04158996561278,13.2638580468507
Cs2LiYCl6,Cl,Cl,3,6.941,88.90585,132.90545,132.90545,0.97,1.11,0.8,0.8,2.126,2.126,1.065,0.919,0.976,1.81,1.81,1.04,0.9,0.76,0.9,1.67,1.67,5.39172,6.2171,3.8939,3.8939,0.98,1.22,0.79,0.79,0.985,1.32,1.71,1.71,671,671,1342,3345,97,97,46,10.6,1.93,1.93,0.534,4.47,15.7,15.7,432,128,28.44,28.44,180.5,1522,0.242,0.242,3.57,0.298,0.359,0.359,0.847,0.172,2.126,0.992,1.00833108241327,12.7917409815341
Cs2NaAlF6,F,F,6,22.98977,26.981538,132.90545,132.90545,1.01,1.47,0.8,0.8,2.126,2.126,0.666,1.256,1.313,1.81,1.81,0.675,1.16,1.02,0.54,1.67,1.67,5.13908,5.98577,3.8939,3.8939,0.93,1.61,0.79,0.79,1.1,0.77,1.71,1.71,671,671,882.94,2519,97,97,71,23.1,1.93,1.93,0.97,2.7,15.7,15.7,113.1,399.9,28.44,28.44,97.79,660.32,0.242,0.242,1.225,0.904,0.359,0.359,1.41,2.37,2.126,0.961,1.09826509081728,12.8278137472794
Cs2NaBiCl6,Cl,Cl,3,22.98977,208.98038,132.90545,132.90545,1.01,1.67,0.8,0.8,2.126,2.126,1.14,1.256,1.313,1.81,1.81,1.17,1.16,1.02,1.03,1.67,1.67,5.13908,7.2856,3.8939,3.8939,0.93,1.9,0.79,0.79,1.1,0.92,1.71,1.71,671,671,882.94,1564,97,97,71,13.4,1.93,1.93,0.97,9.79,15.7,15.7,113.1,53.3,28.44,28.44,97.79,271.4,0.242,0.242,1.225,0.122,0.359,0.359,1.41,0.0787,2.126,1.198,0.935905628097676,11.666686611581
Cs2NaBkCl6,Cl,Cl,3,22.98977,247.0703,132.90545,132.90545,1.01,-300,0.8,0.8,2.126,2.126,1.126,1.256,1.313,1.81,1.81,1.1,1.16,1.02,0.96,1.67,1.67,5.13908,6.1979,3.8939,3.8939,0.93,-300,0.79,0.79,1.1,-300,1.71,1.71,671,671,882.94,-300,97,97,71,-300,1.93,1.93,0.97,-300,15.7,15.7,113.1,-300,28.44,28.44,97.79,-300,0.242,0.242,1.225,-300,0.359,0.359,1.41,-300,2.126,1.191,0.938195505551952,11.6979608676174
Cs2NaCeCl6,Cl,Cl,3,22.98977,140.116,132.90545,132.90545,1.01,-300,0.8,0.8,2.126,2.126,1.197,1.256,1.313,1.81,1.81,1.15,1.16,1.02,1.01,1.67,1.67,5.13908,5.5387,3.8939,3.8939,0.93,1.12,0.79,0.79,1.1,-300,1.71,1.71,671,671,882.94,3443,97,97,71,6.3,1.93,1.93,0.97,6.77,15.7,15.7,113.1,39,28.44,28.44,97.79,798,0.242,0.242,1.225,0.192,0.359,0.359,1.41,0.113,2.126,1.2265,0.926696820778227,11.5410635207873
Cs2NaCoF6,F,F,6,22.98977,58.9332,132.90545,132.90545,1.01,1.7,0.8,0.8,2.126,2.126,0.683,1.256,1.313,1.81,1.81,0.75,1.16,1.02,0.55,1.67,1.67,5.13908,7.881,3.8939,3.8939,0.93,1.88,0.79,0.79,1.1,0.92,1.71,1.71,671,671,882.94,2927,97,97,71,13,1.93,1.93,0.97,8.86,15.7,15.7,113.1,272.5,28.44,28.44,97.79,1495,0.242,0.242,1.225,0.421,0.359,0.359,1.41,1,2.126,0.9695,1.09385021577735,12.7821882059569
Cs2NaCrF6,F,F,6,22.98977,51.9961,132.90545,132.90545,1.01,1.56,0.8,0.8,2.126,2.126,0.77,1.256,1.313,1.81,1.81,0.755,1.16,1.02,0.62,1.67,1.67,5.13908,6.7665,3.8939,3.8939,0.93,1.66,0.79,0.79,1.1,1.07,1.71,1.71,671,671,882.94,2671,97,97,71,4.9,1.93,1.93,0.97,7.15,15.7,15.7,113.1,404,28.44,28.44,97.79,1907,0.242,0.242,1.225,0.45,0.359,0.359,1.41,0.937,2.126,1.013,1.07180087176144,12.5536825996463
Cs2NaErCl6,Cl,Cl,3,22.98977,167.259,132.90545,132.90545,1.01,-300,0.8,0.8,2.126,2.126,1.034,1.256,1.313,1.81,1.81,1.03,1.16,1.02,0.89,1.67,1.67,5.13908,6.1077,3.8939,3.8939,0.93,1.24,0.79,0.79,1.1,-300,1.71,1.71,671,671,882.94,2868,97,97,71,12.2,1.93,1.93,0.97,9.07,15.7,15.7,113.1,119,28.44,28.44,97.79,1529,0.242,0.242,1.225,0.168,0.359,0.359,1.41,0.145,2.126,1.145,0.953526586637348,11.907723433184
Cs2NaErF6,F,F,3,22.98977,167.259,132.90545,132.90545,1.01,-300,0.8,0.8,2.126,2.126,1.034,1.256,1.313,1.81,1.81,1.03,1.16,1.02,0.89,1.67,1.67,5.13908,6.1077,3.8939,3.8939,0.93,1.24,0.79,0.79,1.1,-300,1.71,1.71,671,671,882.94,2868,97,97,71,12.2,1.93,1.93,0.97,9.07,15.7,15.7,113.1,119,28.44,28.44,97.79,1529,0.242,0.242,1.225,0.168,0.359,0.359,1.41,0.145,2.126,1.145,1.01002021015773,11.907723433184
Cs2NaGaF6,F,F,6,22.98977,69.723,132.90545,132.90545,1.01,1.82,0.8,0.8,2.126,2.126,0.776,1.256,1.313,1.81,1.81,0.76,1.16,1.02,0.62,1.67,1.67,5.13908,5.9993,3.8939,3.8939,0.93,1.81,0.79,0.79,1.1,0.76,1.71,1.71,671,671,882.94,2204,97,97,71,18,1.93,1.93,0.97,5.91,15.7,15.7,113.1,80,28.44,28.44,97.79,29.767,0.242,0.242,1.225,0.374,0.359,0.359,1.41,0.406,2.126,1.016,1.07031294829301,12.5382243724141
Cs2NaHoCl6,Cl,Cl,3,22.98977,164.93032,132.90545,132.90545,1.01,-300,0.8,0.8,2.126,2.126,1.071,1.256,1.313,1.81,1.81,1.041,1.16,1.02,0.901,1.67,1.67,5.13908,6.0215,3.8939,3.8939,0.93,1.23,0.79,0.79,1.1,-300,1.71,1.71,671,671,882.94,2700,97,97,71,11.2,1.93,1.93,0.97,8.8,15.7,15.7,113.1,103,28.44,28.44,97.79,1474,0.242,0.242,1.225,0.165,0.359,0.359,1.41,0.162,2.126,1.1635,0.947300985136451,11.822464530581
Cs2NaNiF6,F,F,6,22.98977,58.6934,132.90545,132.90545,1.01,1.75,0.8,0.8,2.126,2.126,0.786,1.256,1.313,1.81,1.81,0.7,1.16,1.02,0.56,1.67,1.67,5.13908,7.6398,3.8939,3.8939,0.93,1.91,0.79,0.79,1.1,0.96,1.71,1.71,671,671,882.94,2913,97,97,71,13.4,1.93,1.93,0.97,8.9,15.7,15.7,113.1,290.3,28.44,28.44,97.79,1455,0.242,0.242,1.225,0.445,0.359,0.359,1.41,0.907,2.126,1.021,1.06784223511597,12.5125450861887
Cs2NaScF6,F,F,3,22.98977,44.95591,132.90545,132.90545,1.01,1.2,0.8,0.8,2.126,2.126,0.895,1.256,1.313,1.81,1.81,0.885,1.16,1.02,0.75,1.67,1.67,5.13908,6.5615,3.8939,3.8939,0.93,1.36,0.79,0.79,1.1,1.22,1.71,1.71,671,671,882.94,2836,97,97,71,10.2,1.93,1.93,0.97,2.99,15.7,15.7,113.1,314,28.44,28.44,97.79,1541,0.242,0.242,1.225,0.567,0.359,0.359,1.41,0.158,2.126,1.0755,1.041633092214,12.2393137680943
Cs2NaSmCl6,Cl,Cl,3,22.98977,150.36,132.90545,132.90545,1.01,-300,0.8,0.8,2.126,2.126,1.134,1.256,1.313,1.81,1.81,1.098,1.16,1.02,0.96,1.67,1.67,5.13908,5.6436,3.8939,3.8939,0.93,1.17,0.79,0.79,1.1,-300,1.71,1.71,671,671,882.94,1794,97,97,71,12.7,1.93,1.93,0.97,7.52,15.7,15.7,113.1,57.3,28.44,28.44,97.79,1074,0.242,0.242,1.225,0.196,0.359,0.359,1.41,0.133,2.126,1.195,0.936885633990972,11.6800693644982
Cs2NaTbCl6,Cl,Cl,3,22.98977,158.92534,132.90545,132.90545,1.01,-300,0.8,0.8,2.126,2.126,1.078,1.256,1.313,1.81,1.81,1.063,1.16,1.02,0.92,1.67,1.67,5.13908,5.8638,3.8939,3.8939,0.93,-300,0.79,0.79,1.1,-300,1.71,1.71,671,671,882.94,3230,97,97,71,10.3,1.93,1.93,0.97,8.23,15.7,15.7,113.1,67.9,28.44,28.44,97.79,1356,0.242,0.242,1.225,0.182,0.359,0.359,1.41,0.111,2.126,1.167,0.946132302215063,11.806471622443
Cs2NaTiF6,F,F,6,22.98977,47.867,132.90545,132.90545,1.01,1.32,0.8,0.8,2.126,2.126,0.837,1.256,1.313,1.81,1.81,0.81,1.16,1.02,0.67,1.67,1.67,5.13908,6.8281,3.8939,3.8939,0.93,1.54,0.79,0.79,1.1,1.15,1.71,1.71,671,671,882.94,3287,97,97,71,8.6,1.93,1.93,0.97,4.51,15.7,15.7,113.1,295.6,28.44,28.44,97.79,1670,0.242,0.242,1.225,0.522,0.359,0.359,1.41,0.219,2.126,1.0465,1.05541696612421,12.383199988354
Cs2NaYbCl6,Cl,Cl,3,22.98977,173.04,132.90545,132.90545,1.01,-300,0.8,0.8,2.126,2.126,1.011,1.256,1.313,1.81,1.81,1.008,1.16,1.02,-300,1.67,1.67,5.13908,6.25416,3.8939,3.8939,0.93,-300,0.79,0.79,1.1,-300,1.71,1.71,671,671,882.94,1196,97,97,71,26.3,1.93,1.93,0.97,6.9,15.7,15.7,113.1,44.3,28.44,28.44,97.79,819,0.242,0.242,1.225,0.154,0.359,0.359,1.41,0.385,2.126,1.1335,0.957437967320897,11.9613447950657
Cs2NaYBr6,Br,Br,3,22.98977,88.90585,132.90545,132.90545,1.01,1.11,0.8,0.8,2.126,2.126,1.065,1.256,1.313,1.81,1.81,1.04,1.16,1.02,0.9,1.67,1.67,5.13908,6.2171,3.8939,3.8939,0.93,1.22,0.79,0.79,1.1,1.32,1.71,1.71,671,671,882.94,3345,97,97,71,10.6,1.93,1.93,0.97,4.47,15.7,15.7,113.1,128,28.44,28.44,97.79,1522,0.242,0.242,1.225,0.298,0.359,0.359,1.41,0.172,2.126,1.1605,0.936166199819532,11.8362072628852
Cs2NaYCl6,l,l,3,22.98977,88.90585,132.90545,132.90545,1.01,1.11,0.8,0.8,2.126,2.126,1.065,1.256,1.313,1.81,1.81,1.04,1.16,1.02,0.9,1.67,1.67,5.13908,6.2171,3.8939,3.8939,0.93,1.22,0.79,0.79,1.1,1.32,1.71,1.71,671,671,882.94,3345,97,97,71,10.6,1.93,1.93,0.97,4.47,15.7,15.7,113.1,128,28.44,28.44,97.79,1522,0.242,0.242,1.225,0.298,0.359,0.359,1.41,0.172,2.126,1.1605,0.704822238489763,11.8362072628852
Cs2NaYF6,F,F,3,22.98977,88.90585,132.90545,132.90545,1.01,1.11,0.8,0.8,2.126,2.126,1.065,1.256,1.313,1.81,1.81,1.04,1.16,1.02,0.9,1.67,1.67,5.13908,6.2171,3.8939,3.8939,0.93,1.22,0.79,0.79,1.1,1.32,1.71,1.71,671,671,882.94,3345,97,97,71,10.6,1.93,1.93,0.97,4.47,15.7,15.7,113.1,128,28.44,28.44,97.79,1522,0.242,0.242,1.225,0.298,0.359,0.359,1.41,0.172,2.126,1.1605,1.00322979018052,11.8362072628852
Cs2RbYF6,F,F,3,85.4678,88.90585,132.90545,132.90545,0.89,1.11,0.8,0.8,2.126,2.126,1.065,1.716,1.773,1.81,1.81,1.04,1.66,1.52,0.9,1.67,1.67,4.17713,6.2171,3.8939,3.8939,0.82,1.22,0.79,0.79,1.67,1.32,1.71,1.71,671,671,688,3345,97,97,-300,10.6,1.93,1.93,1.53,4.47,15.7,15.7,25.6,128,28.44,28.44,39.3,1522,0.242,0.242,0.364,0.298,0.359,0.359,0.582,0.172,2.126,1.3905,0.912224918659514,10.7410167232482
Cs3BiCl6,Cl,Cl,16,132.90545,208.98038,132.90545,132.90545,0.8,1.67,0.8,0.8,2.126,2.126,1.14,1.87,1.927,1.81,1.81,1.17,1.81,1.67,1.03,1.67,1.67,3.8939,7.2856,3.8939,3.8939,0.79,1.9,0.79,0.79,1.71,0.92,1.71,1.71,671,671,671,1564,97,97,97,13.4,1.93,1.93,1.93,9.79,15.7,15.7,15.7,53.3,28.44,28.44,28.44,271.4,0.242,0.242,0.242,0.122,0.359,0.359,0.359,0.0787,2.126,1.505,0.845410186262719,10.2867252083864
CsCaBr3,Br,Br,3,40.078,40.078,132.90545,132.90545,1.04,1.04,0.8,0.8,2.126,2.126,1.163,1.163,1.221,1.81,1.81,1.14,1.14,1,1,1.67,1.67,6.11316,6.11316,3.8939,3.8939,1,1,0.79,0.79,1.32,1.32,1.71,1.71,671,671,1484,1484,97,97,22.3,22.3,1.93,1.93,1.54,1.54,15.7,15.7,213.1,213.1,28.44,28.44,842,842,0.242,0.242,0.646,0.646,0.359,0.359,2,2,2.126,1.163,0.935381615340971,15.8038361781193
CsCaF3,F,F,3,40.078,40.078,132.90545,132.90545,1.04,1.04,0.8,0.8,2.126,2.126,1.163,1.163,1.221,1.81,1.81,1.14,1.14,1,1,1.67,1.67,6.11316,6.11316,3.8939,3.8939,1,1,0.79,0.79,1.32,1.32,1.71,1.71,671,671,1484,1484,97,97,22.3,22.3,1.93,1.93,1.54,1.54,15.7,15.7,213.1,213.1,28.44,28.44,842,842,0.242,0.242,0.646,0.646,0.359,0.359,2,2,2.126,1.163,1.00214310279948,15.8038361781193
CsCdCl3,Cl,Cl,6,112.411,112.411,132.90545,132.90545,1.46,1.46,0.8,0.8,2.126,2.126,1.1,1.1,1.158,1.81,1.81,1.09,1.09,0.95,0.95,1.67,1.67,8.9938,8.9938,3.8939,3.8939,1.69,1.69,0.79,0.79,0.985,0.985,1.71,1.71,671,671,767,767,97,97,30.8,30.8,1.93,1.93,8.69,8.69,15.7,15.7,55.2,55.2,28.44,28.44,321.07,321.07,0.242,0.242,0.231,0.231,0.359,0.359,0.968,0.968,2.126,1.1,0.969017090752395,16.2291515297603
CsCdF3,F,F,3,112.411,112.411,132.90545,132.90545,1.46,1.46,0.8,0.8,2.126,2.126,1.1,1.1,1.158,1.81,1.81,1.09,1.09,0.95,0.95,1.67,1.67,8.9938,8.9938,3.8939,3.8939,1.69,1.69,0.79,0.79,0.985,0.985,1.71,1.71,671,671,767,767,97,97,30.8,30.8,1.93,1.93,8.69,8.69,15.7,15.7,55.2,55.2,28.44,28.44,321.07,321.07,0.242,0.242,0.231,0.231,0.359,0.359,0.968,0.968,2.126,1.1,1.03026560412525,16.2291515297603
CsCoCl3,Cl,Cl,6,58.9332,58.9332,132.90545,132.90545,1.7,1.7,0.8,0.8,2.126,2.126,0.888,0.888,0.946,1.81,1.81,0.79,0.79,0.65,0.65,1.67,1.67,7.881,7.881,3.8939,3.8939,1.88,1.88,0.79,0.79,0.92,0.92,1.71,1.71,671,671,2927,2927,97,97,13,13,1.93,1.93,8.86,8.86,15.7,15.7,272.5,272.5,28.44,28.44,1495,1495,0.242,0.242,0.421,0.421,0.359,0.359,1,1,2.126,0.888,1.04932656035345,17.8452445513932
CsCoF3,F,F,6,58.9332,58.9332,132.90545,132.90545,1.7,1.7,0.8,0.8,2.126,2.126,0.888,0.888,0.946,1.81,1.81,0.79,0.79,0.65,0.65,1.67,1.67,7.881,7.881,3.8939,3.8939,1.88,1.88,0.79,0.79,0.92,0.92,1.71,1.71,671,671,2927,2927,97,97,13,13,1.93,1.93,8.86,8.86,15.7,15.7,272.5,272.5,28.44,28.44,1495,1495,0.242,0.242,0.421,0.421,0.359,0.359,1,1,2.126,0.888,1.1377010729273,17.8452445513932
CsCrCl3,Cl,Cl,6,51.9961,51.9961,132.90545,132.90545,1.56,1.56,0.8,0.8,2.126,2.126,0.926,0.926,0.984,1.81,1.81,0.87,0.87,0.73,0.73,1.67,1.67,6.7665,6.7665,3.8939,3.8939,1.66,1.66,0.79,0.79,1.07,1.07,1.71,1.71,671,671,2671,2671,97,97,4.9,4.9,1.93,1.93,7.15,7.15,15.7,15.7,404,404,28.44,28.44,1907,1907,0.242,0.242,0.45,0.45,0.359,0.359,0.937,0.937,2.126,0.926,1.03396661840683,17.5323072391873
CsDyBr3,Br,Br,5,162.5,162.5,132.90545,132.90545,-300,-300,0.8,0.8,2.126,2.126,1.096,1.096,1.154,1.81,1.81,1.21,1.21,1.07,1.07,1.67,1.67,5.9389,5.9389,3.8939,3.8939,1.22,1.22,0.79,0.79,-300,-300,1.71,1.71,671,671,2567,2567,97,97,9.9,9.9,1.93,1.93,8.55,8.55,15.7,15.7,68.1,68.1,28.44,28.44,1412,1412,0.242,0.242,0.17,0.17,0.359,0.359,0.107,0.107,2.126,1.096,0.956873579753812,16.2569298841404
CsDyI3,I,I,5,162.5,162.5,132.90545,132.90545,-300,-300,0.8,0.8,2.126,2.126,1.096,1.096,1.154,1.81,1.81,1.21,1.21,1.07,1.07,1.67,1.67,5.9389,5.9389,3.8939,3.8939,1.22,1.22,0.79,0.79,-300,-300,1.71,1.71,671,671,2567,2567,97,97,9.9,9.9,1.93,1.93,8.55,8.55,15.7,15.7,68.1,68.1,28.44,28.44,1412,1412,0.242,0.242,0.17,0.17,0.359,0.359,0.107,0.107,2.126,1.096,0.937879906858963,16.2569298841404
CsEuBr3,Br,Br,5,151.964,151.964,132.90545,132.90545,-300,-300,0.8,0.8,2.126,2.126,1.326,1.326,1.384,1.81,1.81,1.31,1.31,1.17,1.17,1.67,1.67,5.6704,5.6704,3.8939,3.8939,-300,-300,0.79,0.79,-300,-300,1.71,1.71,671,671,1529,1529,97,97,35,35,1.93,1.93,5.24,5.24,15.7,15.7,60.6,60.6,28.44,28.44,822,822,0.242,0.242,0.182,0.182,0.359,0.359,0.139,0.139,2.126,1.326,0.886917787209827,14.800300468874
CsEuCl3,Cl,Cl,3,151.964,151.964,132.90545,132.90545,-300,-300,0.8,0.8,2.126,2.126,1.326,1.326,1.384,1.81,1.81,1.31,1.31,1.17,1.17,1.67,1.67,5.6704,5.6704,3.8939,3.8939,-300,-300,0.79,0.79,-300,-300,1.71,1.71,671,671,1529,1529,97,97,35,35,1.93,1.93,5.24,5.24,15.7,15.7,60.6,60.6,28.44,28.44,822,822,0.242,0.242,0.182,0.182,0.359,0.359,0.139,0.139,2.126,1.326,0.895920340915933,14.800300468874
CsEuF3,F,F,3,151.964,151.964,132.90545,132.90545,-300,-300,0.8,0.8,2.126,2.126,1.326,1.326,1.384,1.81,1.81,1.31,1.31,1.17,1.17,1.67,1.67,5.6704,5.6704,3.8939,3.8939,-300,-300,0.79,0.79,-300,-300,1.71,1.71,671,671,1529,1529,97,97,35,35,1.93,1.93,5.24,5.24,15.7,15.7,60.6,60.6,28.44,28.44,822,822,0.242,0.242,0.182,0.182,0.359,0.359,0.139,0.139,2.126,1.326,0.936036536325859,14.800300468874
CsFeBr3,Br,Br,6,55.845,55.845,132.90545,132.90545,1.64,1.64,0.8,0.8,2.126,2.126,0.93,0.93,0.988,1.81,1.81,0.75,0.75,0.61,0.61,1.67,1.67,7.9024,7.9024,3.8939,3.8939,1.83,1.83,0.79,0.79,0.95,0.95,1.71,1.71,671,671,2861,2861,97,97,11.8,11.8,1.93,1.93,7.87,7.87,15.7,15.7,247.3,247.3,28.44,28.44,1538,1538,0.242,0.242,0.449,0.449,0.359,0.359,0.802,0.802,2.126,0.93,1.01463394856804,17.500003753973
CsFeCl3,Cl,Cl,6,55.845,55.845,132.90545,132.90545,1.64,1.64,0.8,0.8,2.126,2.126,0.93,0.93,0.988,1.81,1.81,0.75,0.75,0.61,0.61,1.67,1.67,7.9024,7.9024,3.8939,3.8939,1.83,1.83,0.79,0.79,0.95,0.95,1.71,1.71,671,671,2861,2861,97,97,11.8,11.8,1.93,1.93,7.87,7.87,15.7,15.7,247.3,247.3,28.44,28.44,1538,1538,0.242,0.242,0.449,0.449,0.359,0.359,0.802,0.802,2.126,0.93,1.03237590053236,17.500003753973
CsFeF3,F,F,6,55.845,55.845,132.90545,132.90545,1.64,1.64,0.8,0.8,2.126,2.126,0.93,0.93,0.988,1.81,1.81,0.75,0.75,0.61,0.61,1.67,1.67,7.9024,7.9024,3.8939,3.8939,1.83,1.83,0.79,0.79,0.95,0.95,1.71,1.71,671,671,2861,2861,97,97,11.8,11.8,1.93,1.93,7.87,7.87,15.7,15.7,247.3,247.3,28.44,28.44,1538,1538,0.242,0.242,0.449,0.449,0.359,0.359,0.802,0.802,2.126,0.93,1.1146729066319,17.500003753973
CsGeBr3,Br,Br,3,72.64,72.64,132.90545,132.90545,-300,-300,0.8,0.8,2.126,2.126,-300,-300,0,1.81,1.81,0.87,0.87,0.73,0.73,1.67,1.67,7.8994,7.8994,3.8939,3.8939,2.01,2.01,0.79,0.79,0.72,0.72,1.71,1.71,671,671,-300,-300,97,97,-300,-300,1.93,1.93,-300,-300,15.7,15.7,-300,-300,28.44,28.44,-300,-300,0.242,0.242,-300,-300,0.359,0.359,-300,-300,2.126,-300,-300,-0.273897660531065
CsHgF3,F,F,3,200.59,200.59,132.90545,132.90545,1.44,1.44,0.8,0.8,2.126,2.126,1.168,1.168,1.226,1.81,1.81,1.16,1.16,1.02,1.02,1.67,1.67,10.4375,10.4375,3.8939,3.8939,1.9,1.9,0.79,0.79,1.07,1.07,1.71,1.71,671,671,356.62,356.62,97,97,60.4,60.4,1.93,1.93,13.5336,13.5336,15.7,15.7,11.4,11.4,28.44,28.44,-38.83,-38.83,0.242,0.242,0.139,0.139,0.359,0.359,0.0834,0.0834,2.126,1.168,0.99997677529667,15.7710338353958
